static_text,log_level,preprocessed_text
Ignoring invalid region for server  | ; cell=,error,ignor invalid region server
Added * regions to meta.,info,ad region meta
Updated * in hbase:meta,info,updat hbase meta
Deleted table  |  state from META,info,delet tabl state meta
Updated row * with server=,info,updat row
Deleted ,info,delet
Deleted * regions from META,info,delet region meta
Overwritten  |  regions to Meta,info,overwritten region meta
"Deleted merge references in  | , deleted qualifiers  | , ",info,delet merg refer delet qualifi
Ignoring invalid region for server  | ; cell=,error,ignor invalid region server
"TimeRange failed, likely caused by integer overflow. ",error,timerang fail like caus integ overflow
", ",error,
"Skipping flush region, because the located region  |  is different than  |  requested region ",info,skip flush region locat region differ request region
Got exception making request  |  to ,info,got except make request
"Scanner= |  expired, current region location is ",info,expir current region locat
Failed to relocate region,info,fail reloc region
"Scanner= |  has received an exception, and the server  | asked us to reset the scanner state.",info,receiv except server ask us reset scanner state
Took  | ms to fetch  |  rows from scanner=,info,took ms fetch row
Open scanner= |  for scan= |  on region ,info,open region
 been failing for a long time. clearing out.,error,fail long time clear
Clearing out PFFE for server ,info,clear pffe server
$$$Empty Message$$$,info,empti messag
There is a new dead server: ,info,new dead server
"Unexpected exception, continuing.",error,unexpect except continu
"No regions were selected by key range start= | , end=",info,region select key rang
Left over  |  task(s) are processed on server(s): ,info,left task process server
Regions against which left over task(s) are processed: ,info,region left task process
$$$Empty Message$$$,info,empti messag
Master connection is not running anymore,info,master connect run anymor
Closing master protocol: ,info,close master protocol
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
Exception occurred! Exception details:  | ;\nActions: ,error,except occur except detail
Imposible? Arrive at an unreachable line...,error,impos arriv unreach line
 server-side Connection retries=,info,connect
cannot determine my address,error,determin address
Failed to get region location ,error,fail get region locat
Exception during timerCallbackForWriteBufferPeriodicFlush --> ,error,except timercallbackforwritebufferperiodicflush
Imposible? Arrive at an unreachable line...,error,impos arriv unreach line
Server  |  sent us neither result nor exception for row ' | ' of ,error,server sent us neither result except row
Taking restore-failsafe snapshot: ,info,take snapshot
 completed,info,complet
 failed with ,info,fail
 completed,info,complet
 failed with ,info,fail
 completed,info,complet
 failed with ,info,fail
Failed to delete table ,info,fail delet tabl
Started truncating ,info,start truncat
Started enable of ,info,start enabl
Failed to enable table ,info,fail enabl tabl
Started disable of ,info,start disabl
Failed to disable table ,info,fail disabl tabl
Table is disabled: ,info,tabl disabl
Taking restore-failsafe snapshot: ,info,take snapshot
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
Deleting restore-failsafe snapshot: ,info,delet snapshot
Unable to remove the failsafe snapshot: ,error,unabl remov failsaf snapshot
Failed to delete snapshot  |  for table ,info,fail delet snapshot tabl
Failed to delete snapshot: ,error,fail delet snapshot
 completed,info,complet
 failed with ,info,fail
"TimeRange failed, likely caused by integer overflow. ",error,timerang fail like caus integ overflow
Replica thread interrupted - no replica calls *,error,replica thread interrupt replica call
"id= | , caught throwable. Unexpected. |  Retrying. Server= | , tableName=",error,caught throwabl unexpect retri
id= |  error for  |  processing ,error,error process
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,info,empti messag
"Server sent us neither results nor exceptions for  | , numAttempt:",error,server sent us neither result except numattempt
Couldn't update cached region locations: ,error,could updat cach region locat
"User callback threw an exception for  | , ignoring",error,user callback threw except ignor
"# | , waiting for  |   actions to finish on table: ",info,wait action finish tabl
incorrect format:,info,incorrect format
invalid charset,error,invalid charset
Registering new filter ,info,regist new filter
Retrying connect to server:  |  after sleeping  | ms. Already tried  |  time(s).,info,retri connect server sleep alreadi tri time
$$$Empty Message$$$,error,empti messag
"Can't get the connection header response for rpc timeout, please check if server has the correct configuration to support the additional function.",error,ca get connect header respons rpc timeout pleas check server correct configur support addit function
The server on  |  is dead - stopping the connection ,info,server dead stop connect
Error disposing of SASL client,error,error dispos sasl client
