static_text,log_level,preprocessed_text
No serialized RegionInfo in ,warn,serial regioninfo
Ignoring invalid region for server  | ; cell=,error,ignor invalid region server
Failed to parse the passed region name: ,warn,fail pars pass region name
No serialized RegionInfo in ,warn,serial regioninfo
Ignoring invalid region for server  | ; cell=,error,ignor invalid region server
Region is split but NOT offline: ,warn,region split offlin
"TimeRange failed, likely caused by integer overflow. ",error,timerang fail like caus integ overflow
", ",error,
Failed to get PID from [ | ],warn,fail get pid
Don't know how to get PID from [ | ],warn,know get pid
Failed to get IP address bytes,warn,fail get ip address byte
"Ignore, probably already closed. Current scan: ",warn,ignor probabl alreadi close current scan
 been failing for a long time. clearing out.,error,fail long time clear
Preemptive failure enabled for : ,warn,preemptiv failur enabl
"* is true, but * is not sethbase.status.publishedhbase.status.listener.class",warn,true
"Failed to create ClusterStatusListener, not a critical problem, ignoring...",warn,fail creat clusterstatuslisten critic problem ignor
"Unexpected exception, continuing.",error,unexpect except continu
waitForTermination interrupted,warn,waitfortermin interrupt
Error calling coprocessor service  |  for row ,warn,error call coprocessor servic row
"The  |  setting:  |  is smaller than  | , will use  |  instead.",warn,set smaller use instead
"hbase.status.published is true, but hbase.status.listener.class is not set - not listening status",warn,true set listen statu
Nonce generator is being replaced by test code for ,warn,nonc gener replac test code
Retrieve cluster id failed,warn,retriev cluster id fail
Table * does not exist,warn,tabl exist
Checking master connection,warn,check master connect
"Coding error, see method javadoc. row= | null | , tableName= | null",warn,code error see method javadoc null null
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
Call failed on IOException,warn,call fail ioexcept
$$$Empty Message$$$,error,empti messag
Exception occurred! Exception details:  | ;\nActions: ,error,except occur except detail
Imposible? Arrive at an unreachable line...,error,impos arriv unreach line
"Can not resolve  | , please check your network",warn,resolv pleas check network
cannot determine my address,error,determin address
"The * setting: * ms is less than the * setting: * ms, use the greater one insteadhbase.client.pause.cqtbehbase.client.pause",warn,set ms less set ms use greater one
"The  |  setting:  |  is smaller than  | , will use  |  instead.",warn,set smaller use instead
Failed to get region location ,error,fail get region locat
Region is split but NOT offline: ,warn,region split offlin
Exception during timerCallbackForWriteBufferPeriodicFlush --> ,error,except timercallbackforwritebufferperiodicflush
close() failed to terminate pool after 10 minutes. Abandoning pool.,warn,close fail termin pool 10 minut abandon pool
waitForTermination interrupted,warn,waitfortermin interrupt
Imposible? Arrive at an unreachable line...,error,impos arriv unreach line
"Configured value of pauseForCQTBENs is * ms, which is less than the normal pause value * ms, use the greater one instead",warn,configur valu pauseforcqtben ms less normal paus valu ms use greater one instead
"Process batch for  |  in  |  from  |  failed, tries=",warn,process batch fail
Server  |  sent us neither result nor exception for row ' | ' of ,error,server sent us neither result except row
"Configured value of pauseForCQTBENs is * ms, which is less than the normal pause value * ms, use the greater one instead",warn,configur valu pauseforcqtben ms less normal paus valu ms use greater one instead
scanner failed to close.,warn,scanner fail close
Interrupted while sleeping for expected sleep time  |  ms,warn,interrupt sleep expect sleep time ms
No serialized HRegionInfo in ,warn,serial hregioninfo
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
Unable to remove the failsafe snapshot: ,error,unabl remov failsaf snapshot
Failed to delete snapshot: ,error,fail delet snapshot
Cancelling the procedure with procId= |  throws exception ,warn,cancel procedur throw except
Failed to get the procedure with procId= |  throws exception ,warn,fail get procedur throw except
