static_text,log_level,preprocessed_text
No serialized RegionInfo in ,warn,serial regioninfo
Added * regions to meta.,info,ad region meta
Updated * in hbase:meta,info,updat hbase meta
Deleted table  |  state from META,info,delet tabl state meta
Updated row * with server=,info,updat row
Deleted ,info,delet
Deleted * regions from META,info,delet region meta
Overwritten  |  regions to Meta,info,overwritten region meta
"Deleted merge references in  | , deleted qualifiers  | , ",info,delet merg refer delet qualifi
Failed to parse the passed region name: ,warn,fail pars pass region name
No serialized RegionInfo in ,warn,serial regioninfo
Region is split but NOT offline: ,warn,region split offlin
Failed to get PID from [ | ],warn,fail get pid
Don't know how to get PID from [ | ],warn,know get pid
Failed to get IP address bytes,warn,fail get ip address byte
"Skipping flush region, because the located region  |  is different than  |  requested region ",info,skip flush region locat region differ request region
Got exception making request  |  to ,info,got except make request
"Scanner= |  expired, current region location is ",info,expir current region locat
Failed to relocate region,info,fail reloc region
"Scanner= |  has received an exception, and the server  | asked us to reset the scanner state.",info,receiv except server ask us reset scanner state
Took  | ms to fetch  |  rows from scanner=,info,took ms fetch row
"Ignore, probably already closed. Current scan: ",warn,ignor probabl alreadi close current scan
Open scanner= |  for scan= |  on region ,info,open region
Preemptive failure enabled for : ,warn,preemptiv failur enabl
Clearing out PFFE for server ,info,clear pffe server
$$$Empty Message$$$,info,empti messag
"* is true, but * is not sethbase.status.publishedhbase.status.listener.class",warn,true
"Failed to create ClusterStatusListener, not a critical problem, ignoring...",warn,fail creat clusterstatuslisten critic problem ignor
There is a new dead server: ,info,new dead server
waitForTermination interrupted,warn,waitfortermin interrupt
Error calling coprocessor service  |  for row ,warn,error call coprocessor servic row
"No regions were selected by key range start= | , end=",info,region select key rang
Left over  |  task(s) are processed on server(s): ,info,left task process server
Regions against which left over task(s) are processed: ,info,region left task process
"The  |  setting:  |  is smaller than  | , will use  |  instead.",warn,set smaller use instead
"hbase.status.published is true, but hbase.status.listener.class is not set - not listening status",warn,true set listen statu
Nonce generator is being replaced by test code for ,warn,nonc gener replac test code
Retrieve cluster id failed,warn,retriev cluster id fail
Table * does not exist,warn,tabl exist
$$$Empty Message$$$,info,empti messag
Master connection is not running anymore,info,master connect run anymor
Checking master connection,warn,check master connect
Closing master protocol: ,info,close master protocol
"Coding error, see method javadoc. row= | null | , tableName= | null",warn,code error see method javadoc null null
Call failed on IOException,warn,call fail ioexcept
 server-side Connection retries=,info,connect
"Can not resolve  | , please check your network",warn,resolv pleas check network
"The * setting: * ms is less than the * setting: * ms, use the greater one insteadhbase.client.pause.cqtbehbase.client.pause",warn,set ms less set ms use greater one
"The  |  setting:  |  is smaller than  | , will use  |  instead.",warn,set smaller use instead
Region is split but NOT offline: ,warn,region split offlin
close() failed to terminate pool after 10 minutes. Abandoning pool.,warn,close fail termin pool 10 minut abandon pool
waitForTermination interrupted,warn,waitfortermin interrupt
"Configured value of pauseForCQTBENs is * ms, which is less than the normal pause value * ms, use the greater one instead",warn,configur valu pauseforcqtben ms less normal paus valu ms use greater one instead
"Process batch for  |  in  |  from  |  failed, tries=",warn,process batch fail
"Configured value of pauseForCQTBENs is * ms, which is less than the normal pause value * ms, use the greater one instead",warn,configur valu pauseforcqtben ms less normal paus valu ms use greater one instead
Taking restore-failsafe snapshot: ,info,take snapshot
 completed,info,complet
 failed with ,info,fail
 completed,info,complet
 failed with ,info,fail
 completed,info,complet
 failed with ,info,fail
scanner failed to close.,warn,scanner fail close
Interrupted while sleeping for expected sleep time  |  ms,warn,interrupt sleep expect sleep time ms
Failed to delete table ,info,fail delet tabl
Started truncating ,info,start truncat
Started enable of ,info,start enabl
Failed to enable table ,info,fail enabl tabl
Started disable of ,info,start disabl
Failed to disable table ,info,fail disabl tabl
Table is disabled: ,info,tabl disabl
No serialized HRegionInfo in ,warn,serial hregioninfo
Taking restore-failsafe snapshot: ,info,take snapshot
Deleting restore-failsafe snapshot: ,info,delet snapshot
Failed to delete snapshot  |  for table ,info,fail delet snapshot tabl
Cancelling the procedure with procId= |  throws exception ,warn,cancel procedur throw except
Failed to get the procedure with procId= |  throws exception ,warn,fail get procedur throw except
failed to get the procedure result procId=,warn,fail get procedur result
Proc-v2 is unsupported on this master: ,warn,unsupport master
 completed,info,complet
 failed with ,info,fail
No serialized HRegionInfo in ,warn,serial hregioninfo
"Call to  |  for scanner id =  |  for  |  of  |  failed, , tries =  | , maxAttempts =  | , timeout =  |  ms, time elapsed =  |  ms",warn,call scanner id fail tri maxattempt timeout ms time elaps ms
decode scan response failed,warn,decod scan respons fail
", tries =  | , maxAttempts =  | , timeout =  |  ms, time elapsed =  |  ms",warn,tri maxattempt timeout ms time elaps ms
"The  |  setting:  |  is smaller than  | , will use  |  instead.",warn,set smaller use instead
No replicas found for *,warn,replica found
"id= | , task rejected by pool. Unexpected. |  Server=",warn,task reject pool unexpect
Caught unexpected exception/error: ,warn,caught unexpect
id= |  replica task rejected by pool; no replica calls,warn,replica task reject pool replica call
$$$Empty Message$$$,info,empti messag
"# | , not sent:  |  operations, ",warn,sent oper
